"","x"
"1",7
"2",13
"3",17
"4",18
"5",20
"6",21
"7",23
"8",25
"9",24
"10",22
"11",21
"12",25
"13",26
"14",22
"15",23
"16",27
"17",29
"18",33
"19",36
"20",34
"21",32
"22",29
"23",31
"24",31
"25",27
"26",28
"27",28
"28",30
"29",28
"30",24
"31",21
"32",23
"33",25
"34",25
"35",25
"36",24
"37",25
"38",25
"39",28
"40",26
"41",23
"42",26
"43",27
"44",25
"45",26
"46",26
"47",22
"48",22
"49",25
"50",22
"51",20
"52",23
"53",25
"54",25
"55",23
"56",19
"57",20
"58",21
"59",20
"60",23
"61",25
"62",27
"63",29
"64",23
"65",28
"66",28
"67",27
"68",25
"69",24
"70",25
"71",26
"72",27
"73",28
"74",27
"75",29
"76",28
"77",29
"78",29
"79",25
"80",26
"81",22
"82",20
"83",20
"84",20
"85",19
"86",23
"87",21
"88",23
"89",25
"90",24
"91",26
"92",24
"93",22
"94",24
"95",23
"96",23
"97",25
"98",26
"99",26
"100",28
