"","x"
"1",1
"2",1
"3",3
"4",6
"5",8
"6",5
"7",3
"8",1
"9",2
"10",9
"11",6
"12",5
"13",7
"14",8
"15",3
"16",1
"17",1
"18",4
"19",5
"20",8
"21",4
"22",4
"23",5
"24",6
"25",9
"26",5
"27",9
"28",11
"29",16
"30",11
"31",6
"32",2
"33",6
"34",6
"35",6
"36",5
"37",6
"38",4
"39",4
"40",6
"41",4
"42",3
"43",8
"44",5
"45",4
"46",3
"47",6
"48",6
"49",7
"50",7
"51",6
"52",5
"53",4
"54",2
"55",5
"56",1
"57",3
"58",8
"59",9
"60",7
"61",7
"62",7
"63",12
"64",8
"65",8
"66",5
"67",6
"68",5
"69",4
"70",6
"71",4
"72",4
"73",4
"74",7
"75",8
"76",5
"77",7
"78",7
"79",4
"80",6
"81",7
"82",6
"83",4
"84",3
"85",6
"86",8
"87",8
"88",11
"89",11
"90",12
"91",6
"92",4
"93",5
"94",9
"95",9
"96",9
"97",7
"98",7
"99",4
"100",5
