2,1,1,2,0,1,1,2,1,0,1,1,4,0,0,4,0,1,5,2,0,1,3,3,2,0,5,4,0,1,2,3,1,2,3,4,1,0,1,0,3,2,0,3,2,4,0,4,0,3,1,1,1,1,0,1,0,2,0,2,2,3,2,1,2,0,0,1,1,2,2,0,2,0,1,2,0,2,2,1,2,3,3,0,1,3,1,3,5,1,0,0,0,1,1,1,1,0,0,3,1,1,2,2,3,0,2,0,2,4,1,3,1,1,2,0,5,1,1,1,0,0,3,1,3,2,3,4,4,0,3,2,2,1,1,1,1,2,0,3,0,0,1,1,0,1,3,1,1,2,4,3,3,1,3,4,2,1,1,2,1,1,2,1,0,2,0,1,3,0,3,3,3,3,1,3,1,5,0,2,1,0,0,3,2,1,2,0,2,0,1,2,2,0,2,4,0,3,0,4,0,2,2,2,3,3,0,3,2,3,0,1,0,1,4,0,1,2,2,3,0,1,3,2,2,0,2,3,3,1,4,2,2,1,5,4,1,2,1,2,1,2,1,0,0,0,1,2,1,0,0,0,2,0,0,0,1,1,3,1,0,1,0,3,1,0,2,0,1,2,3,2,1,3,3,1,1,2,1,0,0,3,2,0,0,2,3,1,2,1,0,0,0,0,2,1,1,2,2,0
4,5,1,2,5,2,1,4,4,1,3,4,7,1,0,6,1,2,9,4,1,4,5,3,4,2,5,5,0,2,4,4,2,5,8,7,1,3,5,0,7,3,3,5,3,8,0,6,2,4,3,2,2,1,2,5,3,3,4,3,5,4,7,1,5,4,2,2,4,4,3,0,2,0,1,2,1,7,4,4,3,4,6,2,5,6,5,3,5,2,1,0,1,6,3,4,4,1,1,4,6,4,5,3,6,3,3,3,3,4,1,4,3,1,2,2,9,3,1,4,0,1,5,1,7,2,4,7,4,1,5,4,5,4,4,5,4,3,2,3,2,1,1,4,0,2,4,2,3,5,7,4,6,1,6,6,3,3,5,2,1,3,7,2,1,4,0,5,4,1,4,4,6,6,2,7,3,7,4,3,3,1,2,3,3,5,3,3,3,2,2,5,3,2,3,4,0,8,3,7,2,2,5,5,6,6,2,4,2,3,2,2,2,2,5,3,2,3,3,4,4,3,5,5,4,0,5,5,4,4,5,3,7,2,10,8,3,4,2,2,2,2,5,2,2,2,3,3,3,2,0,2,4,3,1,1,3,3,4,4,2,1,3,5,5,0,5,1,2,5,5,5,3,4,5,1,5,3,4,1,0,6,4,1,3,3,3,1,5,1,2,2,1,0,2,4,3,3,3,2
6,7,2,2,8,2,2,8,7,2,4,7,9,4,1,10,1,3,13,7,2,8,8,6,7,5,5,7,0,3,4,9,6,7,10,8,3,7,8,2,9,7,6,9,5,12,0,8,6,8,6,4,4,5,5,8,6,6,6,7,7,6,10,2,6,6,2,3,6,6,4,0,2,3,2,4,2,11,6,7,5,6,9,4,5,8,6,7,8,3,3,1,5,10,6,5,8,3,3,6,9,5,10,4,6,5,7,5,8,5,2,7,4,1,4,4,11,4,5,8,0,4,7,1,9,5,4,10,7,4,8,5,5,6,8,8,4,6,5,5,5,5,2,6,1,2,6,5,7,7,10,6,8,1,6,8,4,7,7,4,2,5,9,6,2,5,0,9,6,4,9,6,8,8,4,12,4,8,6,3,5,2,3,4,5,10,3,4,5,4,3,8,5,3,5,8,1,11,3,10,3,5,7,7,8,11,3,4,6,6,6,5,5,5,9,6,7,4,5,8,6,5,7,8,6,1,9,7,6,5,9,3,8,5,12,13,6,6,5,5,2,4,6,4,5,5,6,3,8,5,3,5,4,4,1,3,6,5,8,9,6,4,5,5,6,2,10,1,3,6,5,8,5,9,9,1,6,3,7,3,0,9,6,4,7,3,5,5,8,6,3,5,1,0,4,8,8,6,5,4
9,9,6,3,9,5,6,11,9,2,5,10,12,4,2,12,2,4,14,9,4,9,12,8,8,9,8,8,4,5,6,11,9,8,12,11,8,8,11,5,12,10,11,11,8,16,0,11,9,12,6,7,5,5,6,10,8,11,7,8,8,8,10,4,8,9,4,5,11,11,6,2,4,6,4,5,5,13,9,11,8,8,11,6,9,10,6,10,10,5,5,4,8,10,7,10,11,5,4,7,12,5,12,6,10,7,7,8,9,7,2,9,7,2,5,7,16,6,9,10,3,7,10,5,11,8,5,11,9,7,13,9,5,10,11,12,6,6,7,7,6,9,4,7,3,2,8,8,8,10,13,9,12,1,8,8,8,10,11,6,7,8,12,8,4,8,0,12,7,7,11,7,11,11,7,15,7,10,9,6,9,5,6,6,7,14,6,6,5,6,5,11,8,3,6,10,2,14,5,11,8,8,9,12,12,13,4,6,8,11,7,7,5,8,12,8,10,4,6,11,8,6,9,11,7,1,11,9,7,8,10,4,11,5,17,17,7,9,6,7,5,4,9,7,6,5,9,5,10,9,7,8,5,6,3,5,10,8,11,13,9,6,7,8,10,4,13,2,5,8,7,10,8,12,12,1,7,7,7,5,1,13,8,7,11,5,7,7,11,8,5,7,5,1,4,11,11,8,8,8
13,13,8,5,14,8,9,14,9,4,8,14,15,7,6,16,5,7,17,13,5,13,16,12,11,11,9,8,5,9,9,14,10,12,13,14,11,9,16,6,15,14,15,13,9,19,3,13,11,15,9,10,6,9,11,13,9,12,11,11,12,11,10,5,12,12,7,7,15,15,10,6,5,10,9,7,6,15,11,13,11,10,15,6,12,12,8,12,12,6,7,9,10,10,11,13,16,8,5,9,15,8,13,10,13,9,9,10,11,11,3,11,10,4,7,8,19,8,12,14,4,10,10,6,12,11,7,15,11,10,15,12,5,11,14,14,6,9,7,10,8,14,5,9,5,2,12,9,8,10,16,12,14,2,12,8,11,13,15,8,9,11,14,12,7,9,1,14,9,10,12,11,11,12,10,17,9,13,13,8,9,6,9,6,7,15,8,11,8,7,9,12,10,5,9,14,5,17,5,15,8,10,12,15,15,15,5,9,12,16,11,10,8,11,17,10,10,5,11,14,13,10,12,13,10,2,14,13,9,12,10,7,13,7,18,20,9,12,7,9,8,7,13,9,10,9,10,8,11,10,8,11,5,8,3,6,13,11,15,15,12,8,7,8,13,5,14,4,8,11,9,12,10,15,15,4,11,10,9,5,2,18,11,11,13,6,10,10,13,11,7,9,10,4,5,13,14,10,11,11
17,15,12,6,17,8,12,17,11,6,11,17,20,12,11,20,8,10,20,15,8,17,17,14,15,14,13,11,7,11,11,16,14,14,15,17,13,10,19,9,19,16,20,17,11,22,7,14,13,19,14,11,7,11,13,17,10,17,12,16,12,14,13,5,15,16,9,7,16,18,13,8,9,14,14,9,9,19,13,15,12,11,16,8,15,15,9,16,13,9,10,14,14,13,11,15,20,10,6,9,18,11,16,13,15,14,11,12,14,14,5,13,13,9,9,11,20,13,15,16,4,11,13,10,15,14,11,16,14,13,18,15,10,12,16,18,9,10,11,12,12,16,5,11,8,6,16,12,11,13,17,13,18,4,14,8,13,17,17,10,14,13,17,14,12,11,4,18,11,13,14,13,13,15,13,19,11,15,16,10,13,8,11,10,10,16,10,13,12,9,13,13,12,9,12,17,8,18,10,17,10,11,15,19,18,18,7,13,16,18,13,13,11,15,20,12,11,7,15,17,14,13,14,16,13,3,16,15,13,12,10,10,16,8,21,22,13,16,8,12,12,10,17,11,13,10,13,10,14,13,11,13,6,12,5,8,15,12,20,19,16,12,10,12,17,6,14,7,10,14,10,13,13,17,19,7,11,11,12,8,4,20,12,13,14,9,12,11,14,13,9,12,11,5,5,15,15,11,15,14
19,17,14,7,19,9,12,19,13,7,15,19,23,14,14,23,12,13,21,17,12,20,18,18,17,16,13,14,11,12,15,19,18,19,16,21,15,14,22,13,22,20,22,19,14,22,9,17,15,21,17,13,10,14,15,19,11,21,15,18,15,15,17,8,18,20,12,12,17,20,16,11,12,15,15,9,13,22,16,19,16,13,19,9,19,19,12,18,16,13,13,15,15,14,13,19,20,13,7,12,18,14,18,14,17,17,14,16,15,18,6,14,15,13,11,13,23,17,16,20,5,12,18,11,18,14,16,17,19,17,23,19,11,15,20,18,10,12,16,15,16,18,6,15,11,9,18,15,14,17,19,15,22,7,18,9,14,18,18,12,17,14,17,18,15,13,8,20,15,17,17,16,15,19,16,23,13,19,20,14,17,10,13,13,11,18,13,15,15,11,15,15,16,10,16,22,11,20,11,20,13,14,20,21,21,20,11,15,21,20,16,14,12,18,22,16,14,10,19,18,15,16,16,19,16,5,19,16,15,14,11,10,17,10,24,24,16,18,12,13,14,11,20,13,17,14,17,11,16,15,12,15,8,15,7,12,20,15,21,22,21,17,11,13,22,8,14,10,15,18,12,18,16,21,21,10,13,13,13,10,6,23,14,17,15,11,15,14,18,17,10,14,14,9,8,18,19,14,16,17
21,19,18,10,22,11,13,19,17,9,18,21,24,18,19,27,15,14,24,22,15,23,20,20,18,18,14,18,14,15,17,21,20,22,19,23,18,15,25,17,25,22,23,21,16,24,11,17,16,22,19,14,11,17,17,22,15,22,18,20,16,18,20,11,18,22,15,15,22,23,17,14,14,18,18,10,16,23,18,22,18,14,22,10,21,21,17,19,18,15,17,17,18,16,17,22,22,15,9,15,19,16,19,17,20,21,16,19,15,22,10,17,18,13,16,16,26,20,20,21,10,14,19,14,21,17,19,20,22,19,25,22,14,20,21,21,10,14,18,19,18,21,10,19,14,14,20,19,18,19,20,17,25,8,21,11,18,20,21,12,21,16,20,19,18,16,13,21,15,20,18,19,18,22,19,25,18,24,23,16,20,10,15,16,15,21,18,17,17,15,18,17,19,15,18,25,14,22,13,21,16,15,21,22,23,25,15,17,24,24,18,18,16,22,23,18,16,10,21,22,18,17,19,20,19,6,21,18,18,18,11,12,20,14,27,28,19,22,16,18,16,13,23,13,20,18,20,13,18,20,16,16,11,18,10,14,21,17,23,25,24,18,14,14,24,12,15,13,18,21,14,19,19,23,23,12,15,16,17,15,9,27,17,20,17,13,19,15,20,17,15,16,19,11,9,20,23,17,19,20
24,22,21,12,25,11,14,24,19,9,18,25,27,22,22,32,16,16,26,24,20,24,23,23,21,23,17,20,15,16,19,24,23,24,20,27,18,18,28,19,27,25,25,24,17,27,11,19,17,22,22,17,13,19,18,24,17,24,19,23,17,23,23,15,20,22,18,19,24,23,22,17,17,20,21,11,19,26,20,25,21,16,25,14,24,24,19,24,18,16,20,20,21,18,18,25,24,18,10,18,23,18,21,19,22,23,19,23,17,23,11,19,20,15,18,18,29,22,24,22,13,17,21,16,25,18,22,21,25,21,28,26,17,24,23,22,10,14,23,21,21,23,13,21,17,16,23,21,22,21,22,21,26,12,21,13,21,21,24,14,23,19,24,20,21,20,18,24,17,23,21,21,21,22,21,26,21,27,24,19,21,13,19,20,17,23,21,20,21,19,21,18,21,17,20,26,17,24,15,23,18,18,23,23,26,30,18,19,25,26,22,18,16,24,26,20,18,14,24,23,21,17,20,23,21,7,22,20,21,22,13,15,21,15,28,29,23,25,16,21,16,16,24,17,24,20,23,17,20,22,19,17,14,21,13,18,23,19,24,27,26,20,16,15,26,12,15,15,21,24,16,21,20,24,25,13,20,18,18,16,9,30,19,21,20,17,21,18,21,19,18,18,19,15,11,23,25,21,22,21
26,24,22,16,28,12,16,26,19,12,21,28,29,24,25,33,17,18,30,25,22,26,25,27,24,26,18,22,18,16,21,26,24,26,22,29,19,22,31,20,29,28,27,26,19,30,11,23,20,25,24,20,15,20,20,24,19,25,21,24,20,24,25,17,21,25,22,22,27,27,22,21,21,22,22,14,21,28,23,27,25,19,26,15,27,28,22,26,22,18,23,24,24,20,20,26,27,19,12,21,27,21,23,22,24,26,23,25,19,26,13,20,23,17,19,20,33,24,27,23,13,19,24,18,27,19,23,22,25,22,30,30,21,26,26,24,12,16,24,26,24,25,18,23,18,18,23,25,26,23,25,25,31,15,25,15,23,24,27,16,25,21,26,22,24,23,21,26,20,28,23,22,22,23,24,27,24,29,28,21,23,15,19,22,18,26,22,23,23,20,25,19,21,21,22,30,19,28,18,24,21,20,26,25,29,31,19,23,27,27,23,20,18,26,29,24,20,17,29,25,25,21,21,25,22,7,23,22,23,26,15,17,23,17,31,31,25,27,16,24,17,17,28,19,25,20,28,20,23,24,22,18,18,23,16,20,24,22,27,31,27,23,19,18,27,15,16,17,25,26,18,23,24,26,28,17,22,21,21,17,13,32,23,26,21,22,24,21,22,23,19,21,21,16,14,25,26,22,26,22
