"","x"
"1",6
"2",6
"3",9
"4",4
"5",3
"6",3
"7",6
"8",5
"9",6
"10",4
"11",2
"12",7
"13",8
"14",4
"15",5
"16",9
"17",8
"18",9
"19",7
"20",2
"21",7
"22",4
"23",8
"24",7
"25",7
"26",3
"27",4
"28",8
"29",9
"30",9
"31",7
"32",6
"33",6
"34",7
"35",3
"36",2
"37",5
"38",9
"39",8
"40",5
"41",5
"42",6
"43",5
"44",6
"45",6
"46",7
"47",5
"48",1
"49",6
"50",5
"51",5
"52",3
"53",5
"54",6
"55",3
"56",2
"57",4
"58",7
"59",2
"60",3
"61",2
"62",4
"63",3
"64",6
"65",6
"66",1
"67",10
"68",10
"69",13
"70",15
"71",8
"72",5
"73",4
"74",5
"75",5
"76",4
"77",1
"78",0
"79",7
"80",5
"81",13
"82",11
"83",8
"84",4
"85",7
"86",8
"87",3
"88",3
"89",4
"90",1
"91",5
"92",1
"93",4
"94",3
"95",2
"96",4
"97",8
"98",5
"99",5
"100",7
"101",6
"102",4
"103",0
"104",0
"105",3
"106",5
"107",8
"108",13
"109",11
"110",6
"111",7
"112",8
"113",4
"114",6
"115",10
"116",5
"117",8
"118",2
"119",2
"120",6
"121",7
"122",6
"123",6
"124",6
"125",8
"126",6
"127",7
"128",9
"129",4
"130",5
"131",5
"132",2
"133",3
"134",4
"135",5
"136",3
"137",3
"138",8
"139",5
"140",5
"141",5
"142",3
"143",3
"144",3
"145",1
"146",3
"147",5
"148",4
"149",1
"150",4
"151",5
"152",8
"153",3
"154",2
"155",5
"156",3
"157",3
"158",6
"159",7
"160",8
"161",3
"162",4
"163",3
"164",1
"165",4
"166",3
"167",4
"168",6
"169",7
"170",6
"171",3
"172",2
"173",1
"174",2
"175",6
"176",4
"177",7
"178",3
"179",4
"180",5
"181",2
"182",2
"183",3
"184",4
"185",4
"186",11
"187",7
"188",6
"189",6
"190",6
"191",6
"192",2
"193",7
"194",4
"195",3
"196",4
"197",6
"198",8
"199",10
"200",11
"201",8
"202",13
"203",5
"204",9
"205",6
"206",5
"207",2
"208",5
"209",3
"210",7
"211",1
"212",1
"213",2
"214",5
"215",4
"216",2
"217",5
"218",10
"219",7
"220",7
"221",5
"222",8
"223",6
"224",6
"225",7
"226",7
"227",5
"228",5
"229",5
"230",4
"231",5
"232",5
"233",6
"234",6
"235",5
"236",5
"237",3
"238",6
"239",7
"240",7
"241",4
"242",1
"243",4
"244",6
"245",6
"246",2
"247",4
"248",6
"249",5
"250",3
"251",3
"252",5
"253",3
"254",5
"255",3
"256",2
"257",3
"258",4
"259",7
"260",10
"261",8
"262",1
"263",8
"264",4
"265",9
"266",7
"267",7
"268",8
"269",6
"270",5
"271",3
"272",9
"273",5
"274",5
"275",4
"276",6
"277",4
"278",5
"279",5
"280",5
"281",4
"282",4
"283",5
"284",7
"285",5
"286",3
"287",4
"288",11
"289",8
"290",7
"291",10
"292",5
"293",7
"294",7
"295",0
"296",5
"297",3
"298",3
"299",7
"300",7
"301",5
"302",5
"303",8
"304",6
"305",6
"306",8
"307",4
"308",7
"309",10
"310",13
"311",8
"312",4
"313",4
"314",2
"315",5
"316",3
"317",3
"318",2
"319",2
"320",5
"321",6
"322",6
"323",4
"324",4
"325",1
"326",5
"327",8
"328",6
"329",2
"330",8
"331",4
"332",7
"333",8
"334",11
"335",7
"336",4
"337",5
"338",3
"339",7
"340",8
"341",7
"342",9
"343",9
"344",9
"345",9
"346",8
"347",9
"348",5
"349",6
"350",9
"351",5
"352",9
"353",10
"354",9
"355",3
"356",3
"357",6
"358",6
"359",2
"360",3
"361",6
"362",4
"363",6
"364",3
"365",0
"366",3
"367",5
"368",5
"369",5
"370",4
"371",2
"372",5
"373",4
"374",10
"375",12
"376",11
"377",11
"378",8
"379",11
"380",13
"381",9
"382",5
"383",3
"384",6
"385",5
"386",6
"387",6
"388",8
"389",7
"390",6
"391",4
"392",5
"393",1
"394",5
"395",8
"396",4
"397",5
"398",6
"399",4
"400",4
"401",0
"402",5
"403",6
"404",2
"405",2
"406",8
"407",2
"408",3
"409",5
"410",3
"411",4
"412",7
"413",3
"414",3
"415",3
"416",6
"417",9
"418",9
"419",7
"420",5
