"","x"
"1",1
"2",4
"3",3
"4",5
"5",10
"6",9
"7",4
"8",3
"9",5
"10",6
"11",6
"12",8
"13",9
"14",6
"15",7
"16",8
"17",11
"18",7
"19",8
"20",10
"21",7
"22",5
"23",7
"24",4
"25",7
"26",5
"27",2
"28",6
"29",5
"30",4
"31",7
"32",8
"33",5
"34",6
"35",5
"36",6
"37",8
"38",12
"39",9
"40",7
"41",8
"42",12
"43",16
"44",7
"45",6
"46",9
"47",6
"48",1
"49",2
"50",2
"51",7
"52",12
"53",13
"54",9
"55",8
"56",8
"57",8
"58",7
"59",6
"60",5
"61",7
"62",8
"63",10
"64",6
"65",8
"66",8
"67",12
"68",11
"69",10
"70",13
"71",3
"72",9
"73",7
"74",5
"75",10
"76",9
"77",9
"78",10
"79",9
"80",9
"81",3
"82",6
"83",6
"84",4
"85",8
"86",10
"87",10
"88",12
"89",12
"90",6
"91",5
"92",8
"93",11
"94",7
"95",7
"96",7
"97",9
"98",8
"99",5
"100",4
"101",4
"102",3
"103",3
"104",4
"105",7
"106",8
"107",6
"108",6
"109",4
"110",3
"111",5
"112",4
"113",2
"114",5
"115",3
"116",4
"117",6
"118",8
"119",9
"120",7
"121",8
"122",10
"123",7
"124",6
"125",4
"126",7
"127",7
"128",4
"129",4
"130",7
"131",5
"132",10
"133",10
"134",4
"135",6
"136",7
"137",5
"138",8
"139",6
"140",4
"141",1
"142",3
"143",7
"144",13
"145",12
"146",11
"147",12
"148",11
"149",12
"150",11
"151",10
"152",11
"153",13
"154",12
"155",6
"156",3
"157",4
"158",5
"159",3
"160",3
"161",4
"162",3
"163",2
"164",5
"165",2
"166",7
"167",3
"168",7
"169",6
"170",7
"171",9
"172",11
"173",6
"174",8
"175",8
"176",10
"177",8
"178",7
"179",8
"180",6
"181",7
"182",9
"183",10
"184",10
"185",12
"186",7
"187",7
"188",10
"189",6
"190",5
"191",3
"192",2
"193",7
"194",4
"195",4
"196",3
"197",4
"198",4
"199",6
"200",7
"201",8
"202",7
"203",9
"204",11
"205",13
"206",10
"207",12
"208",14
"209",12
"210",11
"211",11
"212",8
"213",11
"214",9
"215",9
"216",9
"217",7
"218",6
"219",7
"220",7
"221",6
"222",14
"223",7
"224",10
"225",12
"226",15
"227",14
"228",9
"229",8
"230",11
"231",10
"232",9
"233",6
"234",4
"235",4
"236",5
"237",11
"238",13
"239",12
"240",9
"241",6
"242",11
"243",11
"244",3
"245",4
"246",8
"247",11
"248",6
"249",6
"250",9
"251",17
"252",16
"253",12
"254",6
"255",12
"256",10
"257",8
"258",6
"259",8
"260",3
"261",8
"262",10
"263",9
"264",8
"265",5
"266",7
"267",7
"268",3
"269",6
"270",7
"271",6
"272",9
"273",6
"274",7
"275",3
"276",4
"277",8
"278",8
"279",5
"280",3
"281",4
"282",6
"283",4
"284",5
"285",4
"286",4
"287",4
"288",6
"289",7
"290",4
"291",8
"292",7
"293",9
"294",5
"295",7
"296",10
"297",11
"298",9
"299",10
"300",13
"301",13
"302",7
"303",8
"304",16
"305",14
"306",12
"307",12
"308",14
"309",12
"310",12
"311",10
"312",8
"313",10
"314",9
"315",11
"316",9
"317",8
"318",8
"319",6
"320",7
"321",8
"322",9
"323",6
"324",6
"325",3
"326",5
"327",3
"328",4
"329",7
"330",8
"331",7
"332",9
"333",5
"334",10
"335",11
"336",12
"337",15
"338",14
"339",13
"340",12
"341",7
"342",8
"343",4
"344",2
"345",2
"346",7
"347",4
"348",5
"349",7
"350",9
"351",5
"352",7
"353",5
"354",6
"355",5
"356",4
"357",6
"358",5
"359",4
"360",6
"361",4
"362",4
"363",6
"364",4
"365",7
"366",5
"367",5
"368",4
"369",4
"370",9
"371",9
"372",9
"373",6
"374",8
"375",8
"376",8
"377",11
"378",5
"379",2
"380",7
"381",5
"382",1
"383",3
"384",2
"385",2
"386",6
"387",8
"388",10
"389",11
"390",9
"391",5
"392",6
"393",8
"394",5
"395",8
"396",7
"397",4
"398",8
"399",6
"400",5
"401",5
"402",4
"403",9
"404",8
"405",5
"406",7
"407",10
"408",8
"409",6
"410",6
"411",5
"412",4
"413",6
"414",7
"415",5
"416",7
"417",8
"418",7
"419",7
"420",5
"421",8
"422",10
"423",5
"424",1
"425",5
"426",3
"427",2
"428",1
"429",4
"430",6
"431",7
"432",7
"433",5
"434",7
"435",4
"436",6
"437",5
"438",7
"439",6
"440",9
"441",10
"442",9
"443",11
"444",10
"445",5
"446",8
"447",2
"448",4
"449",6
"450",7
"451",11
"452",9
"453",6
"454",8
"455",7
"456",4
"457",9
"458",11
"459",9
"460",8
"461",10
"462",8
"463",11
"464",11
"465",11
"466",11
"467",8
"468",4
"469",6
"470",7
"471",9
"472",6
"473",12
"474",9
"475",8
"476",7
"477",10
"478",8
"479",11
"480",8
"481",5
"482",6
"483",3
"484",3
"485",4
"486",8
"487",10
"488",8
"489",8
"490",8
"491",11
"492",10
"493",14
"494",9
"495",8
"496",7
"497",3
"498",5
"499",6
"500",3
"501",3
"502",2
"503",1
"504",1
"505",3
"506",8
"507",6
"508",5
"509",3
"510",1
"511",6
"512",5
"513",6
"514",6
"515",6
"516",4
"517",6
"518",7
"519",4
"520",3
"521",6
"522",7
"523",5
"524",7
"525",5
"526",5
"527",1
"528",2
"529",4
"530",6
"531",7
"532",6
"533",7
"534",10
"535",3
"536",4
"537",1
"538",0
"539",4
"540",4
"541",6
"542",5
"543",5
"544",5
"545",4
"546",3
"547",4
"548",3
"549",5
"550",4
"551",8
"552",5
"553",10
"554",11
"555",10
"556",8
"557",6
"558",5
"559",7
"560",8
"561",5
"562",4
"563",4
"564",9
"565",9
"566",6
"567",7
"568",8
"569",9
"570",10
"571",4
"572",3
"573",2
"574",7
"575",6
"576",3
"577",4
"578",4
"579",5
"580",9
"581",10
"582",6
"583",6
"584",7
"585",14
"586",21
"587",14
"588",13
"589",13
"590",11
"591",4
"592",3
"593",2
"594",4
"595",2
"596",4
"597",3
"598",3
"599",7
"600",12
"601",14
"602",12
"603",10
"604",11
"605",9
"606",9
"607",4
"608",7
"609",5
"610",6
"611",4
"612",4
"613",4
"614",7
"615",7
"616",5
"617",8
"618",4
"619",5
"620",5
"621",6
"622",10
"623",9
"624",6
"625",4
"626",3
"627",7
"628",6
"629",10
"630",7
"631",8
"632",8
"633",5
"634",8
"635",8
"636",9
"637",11
"638",13
"639",8
"640",8
"641",7
"642",5
"643",3
"644",4
"645",9
"646",6
"647",5
"648",2
"649",9
"650",7
"651",6
"652",8
"653",10
"654",8
"655",8
"656",9
"657",12
"658",6
"659",7
"660",7
"661",10
"662",6
"663",6
"664",5
"665",3
"666",7
"667",6
"668",5
"669",10
"670",6
"671",3
"672",2
"673",3
"674",7
"675",6
"676",6
"677",3
"678",5
"679",7
"680",4
"681",7
"682",5
"683",3
"684",8
"685",6
"686",6
"687",8
"688",11
"689",8
"690",6
"691",7
"692",7
"693",9
"694",9
"695",8
"696",6
"697",6
"698",3
"699",7
"700",5
"701",7
"702",3
"703",5
"704",5
"705",3
"706",3
"707",1
"708",6
"709",3
"710",3
"711",6
"712",6
"713",4
"714",8
"715",8
"716",8
"717",9
"718",9
"719",7
"720",7
"721",5
"722",2
"723",5
"724",3
"725",5
"726",3
"727",6
"728",6
"729",7
"730",9
"731",4
"732",8
"733",5
"734",5
"735",7
"736",8
"737",6
"738",6
"739",4
"740",1
"741",4
"742",7
"743",9
"744",10
"745",12
"746",7
"747",8
"748",6
"749",5
"750",6
"751",7
"752",9
"753",5
"754",5
"755",6
"756",7
"757",9
"758",10
"759",11
"760",8
"761",8
"762",5
"763",2
"764",6
"765",6
"766",9
"767",6
"768",2
"769",2
"770",4
"771",5
"772",3
"773",1
"774",0
"775",2
"776",5
"777",4
"778",4
"779",7
"780",5
"781",6
"782",11
"783",11
"784",9
"785",7
"786",7
"787",5
"788",7
"789",11
"790",9
"791",12
"792",10
"793",11
"794",7
"795",3
"796",5
"797",7
"798",10
"799",12
"800",12
"801",11
"802",6
"803",2
"804",4
"805",3
"806",8
"807",12
"808",14
"809",12
"810",8
"811",8
"812",6
"813",4
"814",7
"815",5
"816",8
"817",10
"818",9
"819",5
"820",7
"821",6
"822",7
"823",11
"824",7
"825",5
"826",5
"827",3
"828",7
"829",6
"830",9
"831",7
"832",9
"833",7
"834",10
"835",6
"836",6
"837",4
"838",4
"839",8
"840",1
"841",4
"842",7
"843",4
"844",4
"845",3
"846",4
"847",6
"848",4
"849",3
"850",5
"851",6
"852",8
"853",5
"854",3
"855",6
"856",10
"857",7
"858",9
"859",9
"860",8
"861",8
"862",1
"863",2
"864",5
"865",5
"866",6
"867",5
"868",8
"869",8
"870",9
"871",13
"872",14
"873",7
"874",7
"875",6
"876",5
"877",6
"878",8
"879",6
"880",7
"881",6
"882",4
"883",3
"884",6
"885",10
"886",7
"887",5
"888",6
"889",11
"890",10
"891",11
"892",8
"893",10
"894",10
"895",7
"896",8
"897",12
"898",5
"899",8
"900",9
"901",11
"902",7
"903",3
"904",4
"905",6
"906",8
"907",11
"908",7
"909",3
"910",5
"911",5
"912",6
"913",9
"914",7
"915",8
"916",5
"917",3
"918",7
"919",4
"920",7
"921",8
"922",5
"923",6
"924",7
"925",7
"926",9
"927",6
"928",6
"929",7
"930",11
"931",10
"932",11
"933",7
"934",6
"935",8
"936",8
"937",8
"938",8
"939",13
"940",10
"941",4
"942",3
"943",6
"944",5
"945",4
"946",4
"947",6
"948",6
"949",5
"950",5
"951",6
"952",6
"953",8
"954",12
"955",13
"956",9
"957",8
"958",7
"959",5
"960",3
"961",6
"962",7
"963",7
"964",10
"965",4
"966",6
"967",4
"968",6
"969",7
"970",9
"971",9
"972",13
"973",11
"974",9
"975",6
"976",4
"977",4
"978",5
"979",4
"980",3
"981",6
"982",6
"983",5
"984",3
"985",5
"986",6
"987",7
"988",5
"989",5
"990",6
"991",5
"992",4
"993",4
"994",10
"995",9
"996",6
"997",1
"998",5
"999",5
"1000",7
